Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
Ticker,IBM,IBM,IBM,IBM,IBM,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2015-05-15,108.46723175048828,109.18717463818604,108.05405295809959,108.87415555692655,3050764,106.6287410736084,102.51179565429688,106.37337861288876,103.64331540853007,59.0544576321324,1.6892635726410958,1.7478802340432287,-0.004538910634840465,0.013261411401161634,4,15,5,2015
2015-05-18,108.34200286865234,108.61120702445395,107.86621434935886,108.57990212429337,2061248,106.88378829956055,102.70900344848633,106.56086663724719,103.8275776618682,51.2338283650477,1.6422737942884567,1.7267589460922743,-0.0011545319246646368,0.011268048491265135,0,18,5,2015
2015-05-19,108.60494995117188,108.77398443395397,107.63458790347435,108.28567591745811,2639058,107.21101036071778,102.88326095581054,106.75554123857334,104.01492559478208,51.081245678295524,1.6077189056457684,1.7029509380029733,0.0024270096136058683,0.010783372129857091,1,19,5,2015
2015-05-20,108.78025817871094,109.20596695573327,107.96641051086752,108.51106394888443,2406114,107.51282501220703,103.09780838012695,106.94837142334836,104.20180138238715,62.3382403916894,1.5763091061351417,1.677622571629407,0.0016141826649511692,0.010755674185517473,2,20,5,2015
2015-05-21,108.51728057861328,109.01811895902017,108.32947118195443,108.50476061830186,2401198,107.6498836517334,103.31964706420898,107.0977913428974,104.37103586067053,53.66820946305546,1.5127583822243196,1.6446497337483896,-0.0024175121892578977,0.008789859626663683,3,21,5,2015
2015-05-22,107.816162109375,108.54862501836455,107.79737716607099,108.32951064511263,2980786,107.76617889404297,103.51280029296875,107.16620760637146,104.5061388508158,48.428537605010426,1.3897988387968354,1.5936795547580789,-0.006460892362026849,0.00891953085683629,4,22,5,2015
2015-05-26,106.5077133178711,107.75353443256591,105.88167526811179,107.7472694557536,4031493,107.78753547668457,103.72576278686523,107.10349386460952,104.58463196717092,44.61134707965053,1.1732471693955375,1.5095930776855706,-0.012135924391155184,0.00932421441668303,1,26,5,2015
2015-05-27,107.67838287353516,107.978881875949,106.73307100543094,107.1525146153042,2891562,107.76832466125488,103.92734405517578,107.15824519879291,104.7059555321264,56.31038630671846,1.083600587616786,1.4243945796718138,0.010991406342282684,0.008658316421313223,2,27,5,2015
2015-05-28,107.49687957763672,107.57826433891276,106.83953650948852,107.33411005508462,1811044,107.72512550354004,104.12678649902344,107.19049609201613,104.81540353391112,52.432608690281995,0.9865370416772521,1.3368230720729015,-0.0016856056996287228,0.008636918706382059,3,28,5,2015
2015-05-29,106.20722198486328,107.27147865319922,106.20722198486328,107.27147865319922,4280232,107.71406059265136,104.2650193786621,107.09685093895396,104.86998464963473,40.01319090582642,0.7963688482363978,1.228732227305601,-0.011997163060366023,0.008097496474900986,4,29,5,2015
2015-06-01,106.5390396118164,107.077428046247,105.81909670922197,106.55782455403698,3122833,107.64564781188965,104.40988861083984,107.04372605065515,104.93543778540656,46.676354008568644,0.6647710276253065,1.1159399873695421,0.0031242473040149488,0.007452131399488627,0,1,6,2015
2015-06-02,106.20722198486328,106.70805041560754,105.44345438138325,106.21347696955387,2689684,107.55132598876953,104.50997192382812,106.96405899677022,104.98531167558133,46.8085566119274,0.527621801604667,0.9982763502165671,-0.0031145167833512843,0.007450805294370621,1,2,6,2015
2015-06-03,106.37622833251953,107.40292494179488,106.19467393561698,106.73932713433805,2229026,107.49310302734375,104.59168838500976,106.90807512398445,105.0398574268338,40.664598914188915,0.42763790807842383,0.8841486617889385,0.0015912886571907148,0.007399636694403684,2,3,6,2015
2015-06-04,105.41215515136719,106.80196086602282,105.13044101741987,106.1320979327807,3220948,107.44082794189453,104.67437881469726,106.76560655516374,105.05445733759983,27.155492837691995,0.26752345957613954,0.7608236213463787,-0.009062862974787644,0.007334289889783521,3,4,6,2015
2015-06-05,104.79862976074219,105.74395177721318,104.67342015702582,105.33076308254562,3243123,107.32845458984374,104.79202026367187,106.5782754318855,105.04442488360542,26.745970873645547,0.09008676979286179,0.6266762510356754,-0.005820252794793923,0.007284849654081071,4,5,6,2015
2015-06-08,103.50898742675781,104.72350352136463,103.3086580683857,104.65463874317616,3931600,107.09869766235352,104.86659637451172,106.28596228854,104.98421165000354,23.30567005834655,-0.15283466075169372,0.47077406867820154,-0.01230590835899914,0.007223850106607694,0,8,6,2015
2015-06-09,103.72188568115234,103.93474509233738,102.27574464088529,103.50903626195958,3552111,106.92841835021973,104.9477912902832,106.04176451640785,104.9347086708329,22.87929110122198,-0.32443267680210397,0.31173271958214044,0.0020568093620390027,0.0070916173332047595,1,9,6,2015
2015-06-10,105.75023651123047,106.04447066954731,103.9597716479577,104.22896587688471,4895803,106.87739753723145,105.04134414672852,106.0139999444862,104.96669015477006,36.043849926872284,-0.29337256416526714,0.19071166283265895,0.019555668668745696,0.008502179480701895,2,10,6,2015
