Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-07-20,29.61809730529785,29.819930464395135,29.310857974831787,29.371409291338963,235600800,28.322985,,28.462884,28.505227,68.212598,0.068179,-0.115161,0.018902,0.013386,0.000000,20.000000,7.000000,2015.000000
2015-07-21,29.32206153869629,29.808706432376386,29.225631162402244,29.793009976164154,307025600,28.358193,28.684403,28.544710,28.537259,62.594579,0.125930,-0.066943,-0.009995,0.013580,1.000000,21.000000,7.000000,2015.000000
2015-07-22,28.0819091796875,28.14470186627101,27.35754677723371,27.35754677723371,461802400,28.337898,28.679469,28.500634,28.519402,47.292041,0.070813,-0.039392,-0.042294,0.016701,2.000000,22.000000,7.000000,2015.000000
2015-07-23,28.068450927734375,28.501272141588753,28.046023504221505,28.301680391324023,203998000,28.304820,28.676285,28.459474,28.501718,47.478349,0.025749,-0.026364,-0.000479,0.016564,3.000000,23.000000,7.000000,2015.000000
2015-07-24,27.920440673828125,28.198523298655843,27.785884675425834,28.104334270871473,168649200,28.271181,28.669512,28.408137,28.478923,47.070348,-0.021658,-0.025423,-0.005273,0.016570,4.000000,24.000000,7.000000,2015.000000
2015-07-27,27.532461166381836,27.72084087837388,27.38669320838986,27.60422445881408,177822000,28.226553,28.641793,28.324739,28.441807,44.596572,-0.089504,-0.038239,-0.013896,0.016788,0.000000,27.000000,7.000000,2015.000000
2015-07-28,27.669261932373047,27.788121443431375,27.483127003865018,27.669261932373047,134472400,28.213658,28.617618,28.262313,28.411511,51.652336,-0.130726,-0.056736,0.004969,0.016405,1.000000,28.000000,7.000000,2015.000000
2015-07-29,27.58180046081543,27.696173803367067,27.420332615088867,27.6176829647422,148046800,28.186298,28.585324,28.197502,28.378973,56.517804,-0.168510,-0.079091,-0.003161,0.016317,2.000000,29.000000,7.000000,2015.000000
2015-07-30,27.442768096923828,27.487619529035577,27.294755291204627,27.43155438340966,134513200,28.138867,28.550788,28.125623,28.342259,47.703278,-0.207283,-0.104729,-0.005041,0.016161,3.000000,30.000000,7.000000,2015.000000
2015-07-31,27.202800750732422,27.503309015112233,27.11533928805639,27.494338389328547,171540000,28.081232,28.511498,28.037735,28.297575,38.216209,-0.254442,-0.134672,-0.008744,0.016240,4.000000,31.000000,7.000000,2015.000000
