Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-06-05,104.79862976074219,105.74395177721318,104.67342015702582,105.33076308254562,3243123,107.328450,,106.593354,105.374402,26.746138,0.041276,0.555929,-0.005820,0.007285,4.000000,5.000000,6.000000,2015.000000
2015-06-08,103.50900268554688,104.72351895919174,103.30867329764318,104.65465417085156,3931600,107.098695,,106.299606,105.301249,23.305819,-0.198069,0.405130,-0.012306,0.007224,0.000000,8.000000,6.000000,2015.000000
2015-06-09,103.72185516357422,103.93471451213067,102.2757145487981,103.50900580700709,3552111,106.928413,104.947784,106.054106,105.239312,22.878984,-0.366353,0.250833,0.002056,0.007092,1.000000,9.000000,6.000000,2015.000000
2015-06-10,105.75020599365234,106.04444006705859,103.95974164707488,104.22893579831738,4895803,106.877390,105.041336,106.025163,105.259347,36.043875,-0.332219,0.134223,0.019556,0.008502,2.000000,10.000000,6.000000,2015.000000
2015-06-11,105.66259002685547,106.70180698227279,105.51234046809762,105.96307915238083,3623344,106.767836,105.160103,105.990632,105.275161,36.635590,-0.308679,0.045642,-0.000829,0.008129,3.000000,11.000000,6.000000,2015.000000
2015-06-12,104.54196166992188,105.36207413053934,104.3541522493806,105.3182492678827,3206095,106.546846,105.272860,105.852664,105.246408,35.251004,-0.376113,-0.038709,-0.010606,0.007944,4.000000,12.000000,6.000000,2015.000000
2015-06-15,104.0849838256836,104.54198752817221,102.8266424112291,104.54198752817221,4441002,106.327735,105.360695,105.684313,105.200862,38.179749,-0.461113,-0.123190,-0.004371,0.007941,0.000000,15.000000,6.000000,2015.000000
2015-06-16,104.44808197021484,104.79866097143811,103.8658686303278,104.12879788524967,3399291,106.133039,105.436034,105.566577,105.171341,32.891304,-0.493490,-0.197250,0.003488,0.008036,1.000000,16.000000,6.000000,2015.000000
2015-06-17,104.65467834472656,105.0803771433542,103.9848152459566,104.54825364506966,2994698,105.935526,105.515132,105.479729,105.151080,34.986914,-0.496751,-0.257150,0.001978,0.008024,2.000000,17.000000,6.000000,2015.000000
2015-06-18,105.33075714111328,105.62499120005984,104.57950955317915,104.57950955317915,3484121,105.763052,105.610485,105.465542,105.158126,45.049355,-0.439713,-0.293663,0.006460,0.008204,3.000000,18.000000,6.000000,2015.000000
