,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year,Close',High',Low',Open',Volume',SMA_20',SMA_50',EMA_20',EMA_50',RSI_14',MACD',MACD_Signal',Daily_Return',Volatility',Day_of_Week',Day_of_Month',Month',Year'
2020-04-08,,,,,,,,,,,,,,,,,,,41.313354,41.546617,40.026094,40.293911,18937100.000000,37.948755,44.799769,39.614999,42.676649,62.578752,-1.365289,-2.250967,0.028166,0.053378,2.000000,8.000000,4.000000,2020.000000
2020-04-09,42.332794,42.963466,41.771235,41.848990,19165300.000000,38.045950,44.669932,39.873838,42.663166,74.930136,-0.997382,-2.000250,0.024676,0.048816,3.000000,9.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,,,,,,,,42.332794,42.963466,41.771235,41.848990,19165300.000000,38.045948,44.669931,39.873837,42.663165,74.930157,-0.997382,-2.000250,0.024676,0.048816,3.000000,9.000000,4.000000,2020.000000
2020-04-13,40.544441,42.021768,40.172949,41.771226,19586000.000000,37.979427,44.472639,39.937705,42.580078,70.557249,-0.840431,-1.768286,-0.042245,0.049176,0.000000,13.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,40.544456,42.021784,40.172964,41.771242,19586000.000000,37.979426,44.472638,39.937706,42.580078,70.557282,-0.840429,-1.768285,-0.042245,0.049176,0.000000,13.000000,4.000000,2020.000000
2020-04-14,42.263680,42.548780,40.544451,41.417024,21801900.000000,38.137527,44.317610,40.159226,42.567671,70.685891,-0.570738,-1.528777,0.042404,0.047500,1.000000,14.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,,,,42.263668,42.548768,40.544440,41.417013,21801900.000000,38.137526,44.317609,40.159226,42.567670,70.685895,-0.570737,-1.528776,0.042403,0.047500,1.000000,14.000000,4.000000,2020.000000
2020-04-15,41.131927,41.814437,40.959140,41.218320,12893200.000000,38.156101,44.136862,40.251865,42.511367,63.611614,-0.443218,-1.311665,-0.026778,0.047148,2.000000,15.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,,,,,,,,41.131924,41.814433,40.959136,41.218316,12893200.000000,38.156100,44.136861,40.251864,42.511366,63.611629,-0.443218,-1.311664,-0.026778,0.047148,2.000000,15.000000,4.000000,2020.000000
2020-04-16,40.691311,41.339262,40.397573,40.950494,17606800.000000,38.253293,43.942849,40.293717,42.439992,57.070941,-0.373408,-1.124014,-0.010712,0.045722,3.000000,16.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,,,,,,,,40.691311,41.339262,40.397573,40.950494,17606800.000000,38.253293,43.942848,40.293716,42.439991,57.070966,-0.373408,-1.124013,-0.010712,0.045722,3.000000,16.000000,4.000000,2020.000000
2020-04-17,41.520687,41.728030,40.924570,41.728030,19844600.000000,38.522408,43.765253,40.410571,42.403941,63.565873,-0.248297,-0.948870,0.020382,0.042681,4.000000,17.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,,,,41.520695,41.728037,40.924578,41.728037,19844600.000000,38.522409,43.765251,40.410571,42.403940,63.565900,-0.248296,-0.948870,0.020382,0.042681,4.000000,17.000000,4.000000,2020.000000
2020-04-20,,,,,,,,,,,,,,,,,,,40.198872,41.468856,40.008808,41.287431,18957900.000000,38.877918,43.558820,40.390409,42.317467,54.093076,-0.252889,-0.809673,-0.031835,0.038073,0.000000,20.000000,4.000000,2020.000000
2020-04-20,40.198875,41.468860,40.008812,41.287435,18957900.000000,38.877918,43.558822,40.390409,42.317468,54.093109,-0.252889,-0.809674,-0.031835,0.038073,0.000000,20.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
