Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-06-15,39.50768280029297,39.65536056002853,39.108089614261964,39.481623383652995,33254500,40.613945,39.658860,40.333181,39.635639,40.447438,-0.061867,0.145933,-0.010659,0.009506,0.000000,15.000000,6.000000,2015.000000
2015-06-16,39.81172180175781,40.167881505266124,39.35131780910497,39.39475127270142,27070300,40.532724,39.737880,40.283518,39.642544,32.684706,-0.089580,0.098831,0.007696,0.009741,1.000000,16.000000,6.000000,2015.000000
2015-06-17,39.933326721191406,40.02019362640479,39.40342998361367,39.724841509415235,28704100,40.462794,39.819678,40.250167,39.653947,35.546649,-0.100571,0.058950,0.003055,0.009804,2.000000,17.000000,6.000000,2015.000000
2015-06-18,40.5848503112793,40.65434319300522,40.107072251709255,40.150509030769065,32658300,40.425442,39.916405,40.282041,39.690453,48.674306,-0.056062,0.035948,0.016315,0.010597,3.000000,18.000000,6.000000,2015.000000
2015-06-19,40.046260833740234,40.68040195757735,39.950708544901865,40.64565386322122,63837000,40.368109,40.001325,40.259586,39.704406,39.782956,-0.063517,0.016055,-0.013271,0.010946,4.000000,19.000000,6.000000,2015.000000
2015-06-22,40.1591911315918,40.58484700992186,40.09838362236761,40.246061368884014,20318100,40.339008,40.084360,40.250024,39.722241,43.551428,-0.059624,0.000919,0.002820,0.010741,0.000000,22.000000,6.000000,2015.000000
2015-06-23,39.88121032714844,40.202621899188514,39.62929162652436,40.07232152262332,25896500,40.309473,40.161145,40.214899,39.728475,41.607122,-0.078070,-0.014879,-0.006922,0.010750,1.000000,23.000000,6.000000,2015.000000
2015-06-24,39.64665985107422,40.17655658707289,39.568478311111136,39.672719259808574,34890900,40.223907,40.235138,40.160781,39.725267,43.308419,-0.110343,-0.033972,-0.005881,0.009389,2.000000,24.000000,6.000000,2015.000000
2015-06-25,39.655364990234375,40.0115247504011,39.52506126495524,39.98546201708844,20616000,40.145726,40.298776,40.112646,39.722525,45.261239,-0.133676,-0.053913,0.000220,0.009397,3.000000,25.000000,6.000000,2015.000000
2015-06-26,39.31656265258789,40.2026190686407,39.11676610491328,39.65535156082947,49835300,40.076231,40.357364,40.036829,39.706605,45.436802,-0.177461,-0.078622,-0.008544,0.009205,4.000000,26.000000,6.000000,2015.000000
2015-06-29,38.5434455871582,39.290513144696234,38.534760219313824,39.125464645564314,34081700,39.952010,40.409811,39.894602,39.660991,39.261723,-0.271416,-0.117181,-0.019664,0.009741,0.000000,29.000000,6.000000,2015.000000
2015-06-30,38.352317810058594,38.847466364803736,38.16989204218456,38.83877768769768,35945400,39.831697,40.436168,39.747718,39.609671,26.436956,-0.357181,-0.165181,-0.004959,0.009717,1.000000,30.000000,6.000000,2015.000000
2015-07-01,38.61293029785156,39.290501456017,38.30888949357109,38.621615663112095,28343900,39.727455,40.472397,39.639643,39.570583,31.402038,-0.399516,-0.212048,0.006795,0.009959,2.000000,1.000000,7.000000,2015.000000
2015-07-02,38.569496154785156,38.87353363987231,38.27414403480332,38.63898901690791,21752000,39.642324,40.501716,39.537724,39.531325,34.077301,-0.431596,-0.255958,-0.001125,0.009787,3.000000,2.000000,7.000000,2015.000000
2015-07-06,38.56080627441406,38.63898781296616,38.17858726024823,38.187272625082926,23034000,39.566314,40.524821,39.444684,39.493265,37.752869,-0.452505,-0.295267,-0.000225,0.009775,0.000000,6.000000,7.000000,2015.000000
2015-07-07,38.482627868652344,38.64767963778771,37.631319553870696,38.51737595833981,36435800,39.504202,40.468167,39.353060,39.453632,31.742447,-0.469966,-0.330207,-0.002027,0.009636,1.000000,7.000000,7.000000,2015.000000
2015-07-08,38.43052291870117,39.003853350437026,38.24809703887867,38.60425680232425,39785900,39.442960,40.407709,39.265199,39.413510,28.954372,-0.482447,-0.360655,-0.001354,0.009636,2.000000,8.000000,7.000000,2015.000000
2015-07-09,38.67375183105469,39.28183034653342,38.65637778046829,38.87354844215631,32424700,39.352184,40.332610,39.208871,39.384500,19.780725,-0.467325,-0.381989,0.006329,0.008292,3.000000,9.000000,7.000000,2015.000000
2015-07-10,38.751930236816406,39.21233094158897,38.7171821384816,39.09940127888136,25465800,39.272699,40.260801,39.165353,39.359693,26.045475,-0.443915,-0.394374,0.002021,0.008339,4.000000,10.000000,7.000000,2015.000000
2015-07-13,39.55978775024414,39.62928060232841,39.04726512530431,39.07332453061596,28178300,39.254022,40.212399,39.202918,39.367540,41.176338,-0.356071,-0.386714,0.020847,0.009536,0.000000,13.000000,7.000000,2015.000000
2015-07-14,39.62928771972656,39.92463985008883,39.35999831311638,39.48161331142552,22880300,39.260103,40.165042,39.243525,39.377805,46.049001,-0.277645,-0.364900,0.001757,0.009234,1.000000,14.000000,7.000000,2015.000000
2015-07-15,39.75090408325195,39.863833720029,39.464240622215186,39.68141121630012,26629600,39.257062,40.127367,39.291846,39.392436,51.694944,-0.203335,-0.332587,0.003069,0.009093,2.000000,15.000000,7.000000,2015.000000
2015-07-16,40.53272247314453,40.55878188591242,39.93333278315941,39.96807756226308,26271700,39.287032,40.116375,39.410025,39.437153,61.399385,-0.080430,-0.282155,0.019668,0.010094,3.000000,16.000000,7.000000,2015.000000
2015-07-17,40.49797058105469,40.63695962571203,40.18524440213562,40.43716308112712,29467100,39.282688,40.127474,39.513639,39.478754,66.666703,0.014008,-0.222923,-0.000857,0.009412,4.000000,17.000000,7.000000,2015.000000
2015-07-20,40.758575439453125,40.94100125663882,40.34160829715491,40.52403411434061,30631900,39.318303,40.136535,39.632204,39.528943,86.532753,0.108626,-0.156613,0.006435,0.008978,0.000000,20.000000,7.000000,2015.000000
2015-07-21,41.071311950683594,41.11474873135734,40.37636653879813,40.63697065403504,42781900,39.363909,40.133726,39.769262,39.589428,93.113297,0.206468,-0.083997,0.007673,0.009097,1.000000,21.000000,7.000000,2015.000000
2015-07-22,39.55978775024414,40.767255464824544,39.26443567292696,39.472917542939335,59152400,39.347838,40.107247,39.749312,39.588266,60.749423,0.160194,-0.035159,-0.036802,0.012362,2.000000,22.000000,7.000000,2015.000000
2015-07-23,40.05495071411133,40.159191686541746,39.17757953101973,39.32525727957686,33934000,39.368253,40.091015,39.778421,39.606567,65.295190,0.161614,0.004196,0.012517,0.012609,3.000000,23.000000,7.000000,2015.000000
2015-07-24,39.907257080078125,40.23735722742907,39.785642108359205,39.88119767578391,32333200,39.380847,40.066996,39.790691,39.618359,63.478102,0.149103,0.033177,-0.003687,0.012646,4.000000,24.000000,7.000000,2015.000000
2015-07-27,39.394737243652344,39.968067374732456,39.30787034739402,39.90725988459969,39701400,39.384756,40.013912,39.752981,39.609589,58.399883,0.096716,0.045885,-0.012843,0.012841,0.000000,27.000000,7.000000,2015.000000
2015-07-28,39.38606643676758,39.646670535622484,38.90829170324011,39.59455170410804,34328900,39.426887,39.967905,39.718037,39.600824,58.870847,0.053879,0.047484,-0.000220,0.011966,1.000000,28.000000,7.000000,2015.000000
2015-07-29,40.2113151550293,40.63696773951042,39.316569894747765,39.4381882326461,40945900,39.519837,39.943408,39.765016,39.624765,62.881981,0.085535,0.055094,0.020953,0.012652,2.000000,29.000000,7.000000,2015.000000
2015-07-30,40.72382736206055,41.175542558043404,39.898578510048786,40.185241947373285,39777900,39.625382,39.931246,39.856331,39.667865,65.400110,0.150246,0.074125,0.012745,0.012829,3.000000,30.000000,7.000000,2015.000000
2015-07-31,40.56746292114258,41.1494784550158,40.393725803322546,41.079985596143736,31201500,39.725280,39.915957,39.924058,39.703144,58.761288,0.186760,0.096652,-0.003840,0.012886,4.000000,31.000000,7.000000,2015.000000
2015-08-03,40.66302490234375,40.828073367684894,40.35029870379386,40.81069932179208,24125900,39.830391,39.905360,39.994436,39.740786,58.947337,0.220863,0.121494,0.002356,0.012869,0.000000,3.000000,8.000000,2015.000000
2015-08-04,41.29716110229492,41.44483551615335,40.550093725984446,40.61090122742737,33403900,39.971118,39.916479,40.118505,39.801820,62.292746,0.295651,0.156325,0.015595,0.013126,1.000000,4.000000,8.000000,2015.000000
2015-08-05,41.3319091796875,42.052913831036946,41.29716108922817,41.679380142999904,26959700,40.116187,39.933679,40.234067,39.861824,57.209966,0.353648,0.195790,0.000841,0.013092,2.000000,5.000000,8.000000,2015.000000
2015-08-06,40.49797058105469,41.496956617739464,40.24605521582341,41.44483448333288,27368000,40.207398,39.916479,40.259201,39.886771,50.000000,0.328532,0.222338,-0.020177,0.014116,3.000000,6.000000,8.000000,2015.000000
2015-08-07,40.60221481323242,40.63695958904525,40.18524436587642,40.29817400010868,19163000,40.299912,39.904143,40.291869,39.914827,48.735982,0.313427,0.240556,0.002574,0.014116,4.000000,7.000000,8.000000,2015.000000
2015-08-10,41.11474609375,41.253735167210614,40.68909019228635,40.78464580162069,23079900,40.377660,39.912309,40.370238,39.961883,50.340134,0.338905,0.260226,0.012623,0.013664,0.000000,10.000000,8.000000,2015.000000
2015-08-11,40.315555572509766,40.77595624715655,39.87252894589354,40.671715272734055,29237400,40.411974,39.898063,40.365030,39.975752,56.661654,0.291252,0.266431,-0.019438,0.014482,1.000000,11.000000,8.000000,2015.000000
2015-08-12,40.60221481323242,40.741203857764354,39.70746973240793,40.12443686600372,30181400,40.454539,39.894935,40.387619,40.000320,55.007889,0.273465,0.267838,0.007110,0.014542,2.000000,12.000000,8.000000,2015.000000
2015-08-13,40.593528747558594,40.91494031240261,40.385046824217774,40.88019553435275,22627200,40.457579,39.892851,40.407230,40.023583,56.443851,0.255721,0.265414,-0.000214,0.013874,3.000000,13.000000,8.000000,2015.000000
2015-08-14,40.82807922363281,40.91494615179575,40.41111200368106,40.419797370992995,21473400,40.474085,39.903970,40.447311,40.055132,64.199820,0.257614,0.263854,0.005778,0.013928,4.000000,14.000000,8.000000,2015.000000
2015-08-17,41.106040954589844,41.21897056711201,40.454529312265926,40.66301449586379,21099700,40.491458,39.924470,40.510047,40.096344,66.176322,0.278336,0.266751,0.006808,0.013936,0.000000,17.000000,8.000000,2015.000000
2015-08-18,41.33340072631836,41.47330632702051,40.834986815341146,40.95740379900395,23574100,40.504563,39.956641,40.588461,40.144856,61.890417,0.309536,0.275308,0.005531,0.013886,1.000000,18.000000,8.000000,2015.000000
2015-08-19,40.75628662109375,41.16726075137484,40.485218080923524,40.90493485125613,31485500,40.564388,39.978660,40.604445,40.168833,50.339316,0.284415,0.277129,-0.013962,0.011377,2.000000,19.000000,8.000000,2015.000000
2015-08-20,39.92559814453125,40.633872113751785,39.92559814453125,40.28410644943268,36238200,40.557920,39.967386,40.539793,40.159295,44.119286,0.195226,0.260749,-0.020382,0.012066,3.000000,20.000000,8.000000,2015.000000
2015-08-21,37.66086959838867,39.76819930882819,37.66086959838867,39.61080511173211,70053100,40.445601,39.913771,40.265610,40.061317,30.317704,-0.057538,0.197091,-0.056724,0.017502,4.000000,21.000000,8.000000,2015.000000
2015-08-24,36.4454460144043,37.32859954205689,34.73160147749436,35.369921024334914,88753700,40.298136,39.844013,39.901784,39.919518,20.444574,-0.351873,0.087298,-0.032273,0.018597,0.000000,24.000000,8.000000,2015.000000
2015-08-25,35.38740539550781,37.80952366059152,35.31745093189225,37.22366670245471,70616600,40.098203,39.761608,39.471844,39.741789,17.801818,-0.662870,-0.062735,-0.029031,0.019410,1.000000,25.000000,8.000000,2015.000000
2015-08-26,37.34608459472656,37.45975893308545,35.903308771177144,36.733996365518095,63408000,39.954941,39.712295,39.269390,39.647839,34.782111,-0.742727,-0.198734,0.055350,0.023031,2.000000,26.000000,8.000000,2015.000000
2015-08-27,38.38664627075195,38.430366155948754,37.53846648835768,37.800789135151895,50943200,39.838082,39.681362,39.185319,39.598381,40.189806,-0.713820,-0.301751,0.027863,0.023824,3.000000,27.000000,8.000000,2015.000000
2015-08-28,38.41288375854492,38.60525528731569,37.94070091644247,37.949446896266934,28246700,39.730353,39.637922,39.111754,39.551891,37.498186,-0.680945,-0.377590,0.000684,0.023834,4.000000,28.000000,8.000000,2015.000000
2015-08-31,38.054359436035156,38.412867740217784,37.68710515567517,38.089336669519454,34441700,39.599920,39.598084,39.011050,39.493164,39.092382,-0.676029,-0.437278,-0.009333,0.023854,0.000000,31.000000,8.000000,2015.000000
2015-09-01,36.567848205566406,37.241144715924904,36.42794265377837,36.873890557724145,49688900,39.363454,39.526257,38.778364,39.378446,32.557963,-0.783055,-0.506433,-0.039063,0.024722,1.000000,1.000000,9.000000,2015.000000
2015-09-02,37.914466857910156,37.93195548065807,36.62033879508801,37.040055734196784,37671500,39.192582,39.486922,38.696088,39.321035,39.618453,-0.750561,-0.555259,0.036825,0.026475,2.000000,2.000000,9.000000,2015.000000
2015-09-03,38.036869049072266,38.45658582451267,37.84449760947408,37.958171945201414,28285200,39.069527,39.454727,38.633305,39.270675,39.089037,-0.706785,-0.585564,0.003228,0.026238,3.000000,3.000000,9.000000,2015.000000
2015-09-04,37.258644104003906,37.634641008619425,36.90013581537195,37.4335269282271,37138800,38.902349,39.406792,38.502385,39.191772,35.526433,-0.726514,-0.613754,-0.020460,0.026494,4.000000,4.000000,9.000000,2015.000000
2015-09-08,38.37788772583008,38.47407344313589,37.77454550220134,37.86198524396354,32469800,38.765506,39.388019,38.490528,39.159855,39.580789,-0.644407,-0.619884,0.030040,0.027340,1.000000,8.000000,9.000000,2015.000000
2015-09-09,37.66086959838867,38.8238374618639,37.52096401603796,38.657697289589045,33469500,38.632771,39.370367,38.411513,39.101071,39.194170,-0.629932,-0.621894,-0.018683,0.027317,2.000000,9.000000,9.000000,2015.000000
2015-09-10,37.853248596191406,38.29045404543655,37.38106591045957,37.70459700892937,31366600,38.495323,39.360386,38.358345,39.052137,42.428165,-0.596067,-0.616729,0.005108,0.027281,3.000000,10.000000,9.000000,2015.000000
2015-09-11,38.01937484741211,38.11556055307978,37.54719229355912,37.72207509153563,27132500,38.366615,39.348515,38.326062,39.011637,51.547150,-0.549489,-0.603281,0.004389,0.027326,4.000000,11.000000,9.000000,2015.000000
2015-09-14,37.63463592529297,37.98439819088439,37.477241738312635,37.9756555518797,23656000,38.206943,39.329818,38.260212,38.957637,55.528387,-0.537426,-0.590110,-0.010120,0.027291,0.000000,14.000000,9.000000,2015.000000
2015-09-15,38.456600189208984,38.72766883393031,37.66963219215667,37.76581461227036,28882200,38.074471,39.327733,38.278916,38.937988,64.588496,-0.456281,-0.563344,0.021841,0.027799,1.000000,15.000000,9.000000,2015.000000
2015-09-16,38.73640060424805,38.80635507445524,38.33417240739487,38.447846753675194,23372200,37.944621,39.332809,38.322486,38.930083,57.863466,-0.365185,-0.523712,0.007276,0.027829,2.000000,16.000000,9.000000,2015.000000
2015-09-17,38.69267272949219,39.34848074185646,38.544024514450065,38.72764995736517,32768200,37.841441,39.338052,38.357742,38.920773,51.950824,-0.293140,-0.477598,-0.001129,0.027708,3.000000,17.000000,9.000000,2015.000000
2015-09-18,38.01937484741211,38.4653261490328,37.88821525063868,38.03686346077095,63143700,37.746129,39.324964,38.325516,38.885424,47.682673,-0.287065,-0.439491,-0.017401,0.027613,4.000000,18.000000,9.000000,2015.000000
2015-09-21,38.57025909423828,38.885047501021596,38.124307739424474,38.14179635486936,26177200,37.791599,39.321331,38.348825,38.873064,52.970767,-0.235089,-0.398611,0.014490,0.024626,0.000000,21.000000,9.000000,2015.000000
2015-09-22,38.38664627075195,38.51780592634235,37.87074361995751,37.93195212635571,28085900,37.888659,39.297868,38.352427,38.853989,62.322415,-0.206334,-0.360155,-0.004760,0.023378,1.000000,22.000000,9.000000,2015.000000
2015-09-23,38.360408782958984,38.622731410002736,38.04562029626122,38.412874642613005,17145200,38.037309,39.272490,38.353187,38.834633,53.679596,-0.183548,-0.324834,-0.000684,0.022171,2.000000,23.000000,9.000000,2015.000000
2015-09-24,38.395362854003906,38.58773422104043,37.8357406978371,37.99313484621041,27905600,38.089773,39.245380,38.357204,38.817407,53.001350,-0.160815,-0.292030,0.000911,0.018629,3.000000,24.000000,9.000000,2015.000000
2015-09-25,38.42160415649414,39.11238939564546,38.26420996692518,38.89378672520102,29384600,38.091521,39.203157,38.363337,38.801885,61.138981,-0.139078,-0.261440,0.000683,0.017570,4.000000,25.000000,9.000000,2015.000000
2015-09-28,37.853248596191406,38.55277664786106,37.78329412321801,38.32543128192325,27613800,38.063539,39.150263,38.314757,38.764684,44.382083,-0.165802,-0.242312,-0.014793,0.017885,0.000000,28.000000,9.000000,2015.000000
2015-09-29,37.98439025878906,38.098064555783914,37.64337070341579,37.923181791702135,32763600,38.060041,39.094779,38.283294,38.734084,53.961353,-0.174389,-0.228727,0.003464,0.017784,1.000000,29.000000,9.000000,2015.000000
2015-09-30,38.701416015625,38.7363932440827,38.17677093120792,38.369142352113165,34958900,38.166719,39.047381,38.323115,38.732803,59.202989,-0.121930,-0.207368,0.018877,0.015670,2.000000,30.000000,9.000000,2015.000000
2015-10-01,39.007476806640625,39.12989381784748,38.25548278281178,39.12989381784748,28657900,38.221370,39.036335,38.388292,38.743574,60.405360,-0.055025,-0.176899,0.007908,0.013574,3.000000,1.000000,10.000000,2015.000000
2015-10-02,39.84690475463867,39.84690475463867,38.40412542422378,38.710171242960854,41839000,38.311871,39.032174,38.527208,38.786842,71.260645,0.064983,-0.128523,0.021520,0.014293,4.000000,2.000000,10.000000,2015.000000
2015-10-05,40.77378845214844,41.0011338589097,39.96058590368014,40.004305789332676,34369300,38.487629,39.049505,38.741168,38.864762,71.828753,0.232205,-0.056377,0.023261,0.013948,0.000000,5.000000,10.000000,2015.000000
2015-10-06,40.87871551513672,41.25471252362234,40.41527873819027,40.51146448486519,27017200,38.612670,39.079184,38.944744,38.943740,70.868961,0.368944,0.028687,0.002573,0.012600,1.000000,6.000000,10.000000,2015.000000
2015-10-07,40.92243576049805,41.403361162503394,40.17918771518191,41.184758403808836,27711500,38.775748,39.109912,39.133095,39.021336,71.720852,0.475359,0.118021,0.001070,0.011519,2.000000,7.000000,10.000000,2015.000000
2015-10-08,41.49078369140625,41.55199216663739,40.66009295319708,40.71255879008594,33772700,38.957625,39.135501,39.357637,39.118177,84.522004,0.598653,0.214148,0.013888,0.011720,3.000000,8.000000,10.000000,2015.000000
2015-10-09,41.1934928894043,41.5694897963075,41.02735270435582,41.49079269170887,28600600,39.116331,39.144894,39.532481,39.199562,77.472863,0.664713,0.304261,-0.007165,0.012015,4.000000,9.000000,10.000000,2015.000000
2015-10-12,41.097312927246094,41.158521424331255,40.660107470573266,41.07982430870563,19769100,39.289465,39.155491,39.681512,39.273984,78.918131,0.701223,0.383653,-0.002335,0.011651,0.000000,12.000000,10.000000,2015.000000
2015-10-13,41.001121520996094,41.21098157883675,40.7125676940292,40.7125676940292,19987800,39.416691,39.162253,39.807189,39.341715,77.757542,0.714162,0.449755,-0.002341,0.010990,1.000000,13.000000,10.000000,2015.000000
2015-10-14,40.81749725341797,41.184748195904895,40.68633429646546,40.791265996272486,24697800,39.520746,39.152660,39.903409,39.399588,74.688357,0.701513,0.500107,-0.004479,0.011078,2.000000,14.000000,10.000000,2015.000000
2015-10-15,41.106040954589844,41.12352956691271,40.68632426567618,41.106040954589844,27189400,39.641414,39.148143,40.017945,39.466508,75.973121,0.706626,0.541410,0.007069,0.011082,3.000000,15.000000,10.000000,2015.000000
2015-10-16,41.54325485229492,41.56948944401377,41.00986707632726,41.11479543636538,26450300,39.817608,39.169048,40.163213,39.547949,86.632069,0.737457,0.580620,0.010636,0.010082,4.000000,16.000000,10.000000,2015.000000
2015-10-19,41.639434814453125,41.86678345464678,41.114789751195715,41.464552014830005,29387600,39.971067,39.189793,40.303806,39.629968,86.538626,0.760881,0.616672,0.002315,0.009810,0.000000,19.000000,10.000000,2015.000000
2015-10-20,41.77059555053711,41.80557277574398,41.114787588161185,41.48203844599804,30802200,40.140264,39.202910,40.443500,39.713914,84.752623,0.781025,0.649543,0.003150,0.009601,1.000000,20.000000,10.000000,2015.000000
