Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-06-19,0.5293171405792236,0.5353678276280492,0.5244765678584917,0.5310113352610619,355656000,0.524900,,0.523660,0.526761,43.703813,-0.000249,-0.000767,-0.003191,0.018205,4.000000,19.000000,6.000000,2015.000000
2015-06-22,0.5271387100219727,0.5331894529898269,0.5191517616187356,0.530285087132591,514236000,0.526013,0.526045,0.523991,0.526776,47.837767,0.000041,-0.000606,-0.004116,0.018245,0.000000,22.000000,6.000000,2015.000000
2015-06-23,0.5135853290557861,0.5322215311148807,0.5094708473833254,0.5281070494424198,414064000,0.526606,0.525451,0.523000,0.526258,44.030047,-0.000813,-0.000647,-0.025711,0.019220,1.000000,23.000000,6.000000,2015.000000
2015-06-24,0.5085023641586304,0.5155212077439549,0.5060820792365334,0.5128588539367472,253368000,0.525602,0.524848,0.521620,0.525562,35.937581,-0.001879,-0.000894,-0.009897,0.014901,2.000000,24.000000,6.000000,2015.000000
2015-06-25,0.5123750567436218,0.5155214342954723,0.508502587625639,0.508502587625639,350460000,0.524428,0.524191,0.520739,0.525045,35.770383,-0.002384,-0.001192,0.007616,0.014624,3.000000,25.000000,6.000000,2015.000000
2015-06-26,0.5019676089286804,0.5087444422239855,0.499789392605325,0.5082603620942666,421296000,0.522746,0.523394,0.518951,0.524140,36.533415,-0.003582,-0.001670,-0.020312,0.015168,4.000000,26.000000,6.000000,2015.000000
2015-06-29,0.48696187138557434,0.5012415715067459,0.4862357800485528,0.49615893214759504,391724000,0.520011,0.522437,0.515905,0.522682,29.577473,-0.005677,-0.002471,-0.029894,0.015886,0.000000,29.000000,6.000000,2015.000000
2015-06-30,0.4867200553417206,0.49204470867820643,0.48333166581131204,0.48986643353543746,315916000,0.517796,0.521528,0.513125,0.521272,32.474341,-0.007273,-0.003432,-0.000497,0.015541,1.000000,30.000000,6.000000,2015.000000
2015-07-01,0.49373871088027954,0.5058401385579023,0.4893822199979989,0.49882135089779234,302892000,0.516223,0.520774,0.511279,0.520192,33.502649,-0.007881,-0.004321,0.014420,0.015993,2.000000,1.000000,7.000000,2015.000000
2015-07-02,0.49422287940979004,0.49736925693879264,0.4910765018807874,0.49349678784893025,145764000,0.514202,0.519908,0.509655,0.519174,39.762712,-0.008229,-0.005103,0.000981,0.015257,3.000000,2.000000,7.000000,2015.000000
2015-07-06,0.48817208409309387,0.49688512419926484,0.4845416843762845,0.49010834728566693,214776000,0.511673,0.518966,0.507609,0.517958,37.430294,-0.008890,-0.005860,-0.012243,0.015116,0.000000,6.000000,7.000000,2015.000000
2015-07-07,0.4789750576019287,0.4872040474525026,0.463727249773355,0.4852678417013892,594252000,0.509301,0.517930,0.504882,0.516429,29.189247,-0.010040,-0.006696,-0.018840,0.014885,1.000000,7.000000,7.000000,2015.000000
2015-07-08,0.4755866229534149,0.47921705166578205,0.47171415411939027,0.4763127144663049,332492000,0.506627,0.516746,0.502092,0.514827,23.119977,-0.011098,-0.007576,-0.007074,0.014717,2.000000,8.000000,7.000000,2015.000000
