Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-06-25,17.91933250427246,18.0939998626709,17.683332443237305,17.76333236694336,42738000,17.024900,,17.091706,16.265123,72.674726,0.445832,0.398839,0.013652,0.013972,3.000000,25.000000,6.000000,2015.000000
2015-06-26,17.805999755859375,17.94066619873047,17.733333587646484,17.926000595092773,57576000,17.079200,16.222187,17.159734,16.325549,64.255476,0.448839,0.408839,-0.006325,0.014081,4.000000,26.000000,6.000000,2015.000000
2015-06-29,17.468000411987305,17.729999542236328,17.3799991607666,17.463333129882812,52183500,17.121100,16.295827,17.189093,16.370351,57.055758,0.419117,0.410895,-0.018982,0.014828,0.000000,29.000000,6.000000,2015.000000
2015-06-30,17.884000778198242,18.06133270263672,17.600000381469727,17.65333366394043,46303500,17.187467,16.379813,17.255274,16.429710,70.137571,0.424239,0.413564,0.023815,0.015459,1.000000,30.000000,6.000000,2015.000000
2015-07-01,17.94333267211914,18.174667358398438,17.856666564941406,18.073999404907227,31518000,17.254667,16.459467,17.320804,16.489068,70.260321,0.428151,0.416481,0.003318,0.015457,2.000000,1.000000,7.000000,2015.000000
2015-07-02,18.667999267578125,18.829999923706055,18.220666885375977,18.68000030517578,107458500,17.368333,16.540240,17.449108,16.574516,77.192594,0.484145,0.430014,0.040386,0.016946,3.000000,2.000000,7.000000,2015.000000
2015-07-06,18.648000717163086,18.779333114624023,18.420000076293945,18.591999053955078,61828500,17.470267,16.621733,17.563288,16.655829,77.206971,0.520902,0.448191,-0.001071,0.016959,0.000000,6.000000,7.000000,2015.000000
2015-07-07,17.858667373657227,18.34666633605957,17.384666442871094,18.333332061767578,91576500,17.508900,16.687667,17.591420,16.703000,61.710575,0.480797,0.454713,-0.042328,0.019227,1.000000,7.000000,7.000000,2015.000000
2015-07-08,16.997333526611328,17.386667251586914,16.95400047302246,17.288000106811523,93316500,17.505433,16.718880,17.534840,16.714542,46.030599,0.375187,0.438807,-0.048231,0.022317,2.000000,8.000000,7.000000,2015.000000
2015-07-09,17.19466781616211,17.530000686645508,17.119333267211914,17.27199935913086,50011500,17.529500,16.755467,17.502443,16.733371,47.169556,0.303909,0.411828,0.011610,0.021903,3.000000,9.000000,7.000000,2015.000000
2015-07-10,17.27666664123535,17.53333282470703,17.187999725341797,17.481332778930664,39163500,17.555300,16.791067,17.480940,16.754676,47.625097,0.251143,0.379691,0.004769,0.021912,4.000000,10.000000,7.000000,2015.000000
2015-07-13,17.477333068847656,17.503332138061523,17.06999969482422,17.483333587646484,44404500,17.593533,16.839213,17.480597,16.783016,51.668319,0.222948,0.348342,0.011615,0.021991,0.000000,13.000000,7.000000,2015.000000
2015-07-14,17.709999084472656,17.732667922973633,17.367332458496094,17.47333335876465,28614000,17.644433,16.892040,17.502445,16.819368,48.484374,0.216877,0.322049,0.013312,0.022102,1.000000,14.000000,7.000000,2015.000000
2015-07-15,17.542667388916016,17.832666397094727,17.472000122070312,17.78266716003418,30324000,17.677833,16.935547,17.506275,16.847733,48.477131,0.196301,0.296899,-0.009448,0.022196,2.000000,15.000000,7.000000,2015.000000
2015-07-16,17.778667449951172,17.81333351135254,17.54400062561035,17.614667892456055,24240000,17.698733,16.980520,17.532217,16.884240,48.415218,0.196769,0.276873,0.013453,0.021481,3.000000,16.000000,7.000000,2015.000000
2015-07-17,18.310667037963867,18.369333267211914,17.883333206176758,18.166667938232422,75061500,17.741300,17.039493,17.606355,16.940178,55.195620,0.237332,0.268965,0.029923,0.022399,4.000000,17.000000,7.000000,2015.000000
